game_title, genre, platforms, release_date, developers,metascore_rating
Journey,Action|Platformer|3D,PlayStation 4|PC|PlayStation 3,Jul 21 2015,Tricky Pixels,92
Celeste,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,Jan 25 2018,Matt Makes Games Inc.,91
INSIDE,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,Aug 23 2016,PLAYDEAD,91
Overwatch,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,May 23 2016,Blizzard Entertainment,90
Shovel Knight,Action|Platformer|2D,PlayStation 4|3DS|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox One,Apr 21 2015,Yacht Club Games,90
Rayman Legends,Action|Platformer|2D,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox 360|Xbox One,Feb 18 2014,Ubisoft Montpellier,90
Fez,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Xbox 360,Mar 25 2014,Polytron Corp.,90
Rez Infinite,Shooter|Action|Rail,PlayStation 4|PC,Oct 13 2016,Q Entertainment| Monstars Inc.| Enhance Games,89
Titanfall 2,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Oct 28 2016,Respawn Entertainment,89
Apex Legends,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,Feb  4 2019,Respawn Entertainment,89
Battlefield 1,Action|First-Person|General|Shooter|Tactical,PlayStation 4|PC|Xbox One,Oct 18 2016,EA DICE,89
The Binding of Isaac: Rebirth,Action Adventure|Action|Shooter|Shoot-'Em-Up|Survival|Horror|Top-Down,PlayStation 4|3DS|iPhone/iPad|PC|PlayStation Vita|Wii U|Xbox One,Nov  4 2014,Nicalis,88
ZEN Pinball 2: Star Wars Rebels,Action|Pinball,PlayStation 4,Apr 28 2015,Zen Studios,88
Injustice 2: Legendary Edition,Action|2D|Fighting,PlayStation 4|PC|Xbox One,Mar 27 2018,NetherRealm Studios,88
Nex Machina: Death Machine,Shooter|Action|Top-Down|Shoot-'Em-Up,PlayStation 4|PC,Jun 20 2017,Housemarque,88
Guacamelee! Super Turbo Championship Edition,Action|Platformer|2D,PlayStation 4|PC|Switch|Wii U|Xbox 360|Xbox One,Jul  1 2014,DrinkBox Studios,87
Injustice 2,Action|2D|Fighting,PlayStation 4|iPhone/iPad|PC|Xbox One,May 16 2017,NetherRealm Studios,87
Dead Cells,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Aug  7 2018,Motion Twin,87
Street Fighter V: Arcade Edition,Action|2D|Fighting,PlayStation 4|PC,Jan 16 2018,Capcom,87
Dragon Ball FighterZ,Action|2D|Fighting,PlayStation 4|PC|Switch|Xbox One,Jan 26 2018,Arc System Works,87
TowerFall Ascension,Action|General,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Mar 11 2014,Matt Thorson,87
Wolfenstein II: The New Colossus,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Switch|Xbox One,Oct 27 2017,MachineGames,87
Sonic Mania Plus,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Jul 17 2018,Sega,87
NBA 2K16,Sim|Sports|Action|Team|General|Basketball,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Xbox 360|Xbox One,Sep 25 2015,Visual Concepts,87
Velocity 2X,Scrolling|Action|General|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Sep  2 2014,FuturLab,86
Steins;Gate Elite,Action|General,PlayStation 4|PC|Switch,Feb 19 2019,5pb| Mages.,86
Guilty Gear Xrd -REVELATOR-,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3,Jun  7 2016,Arc System Works,86
Sonic Mania,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Aug 15 2017,SegaSoft| Sega| PagodaWest Games,86
Beat Saber,Action|General,PlayStation 4|PC,Nov 20 2018,Hyperbolic Magnetism,86
Guilty Gear Xrd: Rev 2,Action|2D|Fighting,PlayStation 4|PlayStation 3,May 26 2017,Arc System Works,86
Resogun: Heroes,Horizontal|Scrolling|Action|Shooter|Shoot-'Em-Up,PlayStation 4,Jun 24 2014,Housemarque,86
Battlefield 4,Arcade|Action|First-Person|Shooter|Modern,PlayStation 4|PC|PlayStation 3|Wii U|Xbox 360|Xbox One,Nov 12 2013,EA DICE,85
DOOM,Arcade|Third-Person|Action|First-Person|Shooter|Sci-Fi,PlayStation 4|PC|Switch|Xbox One,May 13 2016,id Software,85
SteamWorld Dig 2,Action Adventure|Action|2D|General|Platformer,PlayStation 4|3DS|PC|PlayStation Vita|Switch|Xbox One,Sep 26 2017,Image & Form,85
Resogun: Defenders,Shooter|Action|Horizontal|Shoot-'Em-Up,PlayStation 4,Feb 17 2015,Housemarque,85
DJMax Respect,Music|Action|Rhythm,PlayStation 4,Mar  6 2018,Rocky Studio,85
Destiny 2,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Sep  6 2017,Bungie,85
Assault Android Cactus,Scrolling|Action|General|Shooter|Shoot-'Em-Up|Top-Down,PlayStation 4|PC|Xbox One,Mar  8 2016,Witch Beam,85
Shantae: Half-Genie Hero - Ultimate Edition,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,May  8 2018,WayForward,85
Rogue Legacy,Action|Platformer|2D,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Switch|Xbox One,Jul 29 2014,Cellar Door Games,85
Mortal Kombat XL,Action|2D|Fighting,PlayStation 4|PC|Xbox One,Mar  1 2016,NetherRealm Studios,85
Geometry Wars 3: Dimensions,Action|Shooter|Shoot-'Em-Up|Top-Down|Static,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Xbox 360|Xbox One,Nov 25 2014,Lucid Games,85
Ratchet & Clank,Action|Platformer|3D,PlayStation 4,Apr 12 2016,Insomniac Games,85
Far Cry 4,Arcade|Action|First-Person|Shooter|Modern,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Nov 18 2014,Ubisoft Montreal,85
Super Meat Boy,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch|Wii U|Xbox 360,Oct  6 2015,Team Meat,85
Guilty Gear Xrd -SIGN-,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3,Dec 16 2014,Arc System Works,84
BlazBlue: Central Fiction,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3|Switch,Nov  1 2016,Arc System Works,84
Salt and Sanctuary,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Mar 15 2016,Ska Studios,84
ZEN Pinball 2: South Park: Super-Sweet Pinball,Parlor|Action|Pinball|Miscellaneous,PlayStation 4|PlayStation 3|PlayStation Vita,Oct 14 2014,Zen Studios,84
Thumper,Music|Action|Rhythm,PlayStation 4|PC|Switch|Xbox One,Oct 10 2016,drool Games| Drool,84
Sound Shapes,Music Maker|Music|Action|Rhythm|Miscellaneous,PlayStation 4|PlayStation 3|PlayStation Vita,Nov 15 2013,SCEA,84
Polybius,Shooter|Action|Rail,PlayStation 4|PC,May  9 2017,Llamasoft,84
Uncharted: The Lost Legacy,Action|General,PlayStation 4,Aug 22 2017,Naughty Dog,84
SoulCalibur VI,Action|3D|Fighting,PlayStation 4|PC|Xbox One,Oct 19 2018,Bandai Namco Games| Project Soul,84
ZEN Pinball 2: Aliens Vs. Pinball,Action|Pinball,PlayStation 4|iPhone/iPad|PlayStation 3|PlayStation Vita,Apr 26 2016,Zen Studios,84
Hatsune Miku: Project Diva Future Tone - Colorful Tone,Music|Action|Rhythm,PlayStation 4,Jan 10 2017,Sega,84
Hatsune Miku: Project Diva Future Tone - Future Sound,Music|Action|Rhythm,PlayStation 4,Jan 10 2017,Sega,84
Resogun,Horizontal|Scrolling|Action|Shooter|Shoot-'Em-Up,PlayStation 4|PlayStation 3|PlayStation Vita,Nov 15 2013,Housemarque| XDEV,84
BioShock: The Collection,Arcade|Compilation|Action|First-Person|Shooter|Miscellaneous,PlayStation 4|PC|Xbox One,Sep 13 2016,2K Games,84
Trine 2: Complete Story,Action|Platformer|2D,PlayStation 4|PC|Switch,Nov 15 2013,Frozenbyte| Inc.,84
Call of Duty: Black Ops 4,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,Oct 12 2018,Treyarch,83
Guacamelee! 2,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Aug 21 2018,DrinkBox Studios,83
Prey: Mooncrash,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Jun 11 2018,Arkane Studios,83
Call of Duty: Modern Warfare Remastered,Arcade|Action|First-Person|Shooter|Tactical,PlayStation 4|PC|Xbox One,Nov  4 2016,Infinity Ward,83
ZEN Pinball 2: Portal Pinball,Action|Pinball,PlayStation 4|PlayStation 3|PlayStation Vita,May 26 2015,Zen Studios,83
Yoku's Island Express,Action|Pinball,PlayStation 4|PC|Switch|Xbox One,May 29 2018,Villa Gorilla,83
Jamestown+,Scrolling|Action|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC,Mar 17 2015,Final Form Games| LLC,83
Terraria,Action Adventure|Sandbox|Action|2D|Platformer,PlayStation 4|3DS|iPhone/iPad|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox 360|Xbox One,Nov 11 2014,Engine Software| Pipeworks Software| Inc.,83
Battle Chef Brigade,Action|Beat-'Em-Up|2D,PlayStation 4|PC|Switch,Aug 28 2018,Trinket Studios,83
Metro Redux,Compilation|Action|First-Person|Sci-Fi|Shooter|Miscellaneous,PlayStation 4|PC|Xbox One,Aug 26 2014,4A Games,83
The Swapper,Action|Platformer|2D,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox One,Aug  5 2014,Facepalm Games,83
Call of Duty: Advanced Warfare,Arcade|Action|First-Person|Shooter|Modern,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Nov  3 2014,Sledgehammer Games,83
Mortal Kombat X,Action|2D|3D|Fighting,PlayStation 4|PC|Xbox One,Apr 14 2015,Warner Bros. Interactive Entertainment| NetherRealm Studios,83
The Unfinished Swan,Action|First-Person|General|3D|Adventure,PlayStation 4|PlayStation 3|PlayStation Vita,Oct 28 2014,Armature Studio,83
SUPERHOT,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,Jul 21 2017,SUPERHOT,83
ZEN Pinball 2: The Walking Dead,Parlor|Action|Pinball|Miscellaneous,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Wii U,Aug 26 2014,Zen Studios,83
Move or Die,Action|General,PlayStation 4|iPhone/iPad|PC,Mar  5 2019,Those Awesome Guys,83
Nuclear Throne,Action|General|Shooter|Shoot-'Em-Up|Top-Down,PlayStation 4|PC|PlayStation Vita|Switch,Dec  5 2015,Vlambeer,82
The Pinball Arcade,Parlor|Action|Pinball|Miscellaneous,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Switch|Wii U|Xbox 360|Xbox One,Dec 17 2013,Farsight Studios,82
Tom Clancy's The Division 2,Third-Person|Action|First-Person|Shooter|Tactical,PlayStation 4|PC|Xbox One,Mar 12 2019,Massive Entertainment,82
Destiny 2: Forsaken,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Sep  4 2018,Bungie Software| Bungie,82
N++,Action|Platformer|2D,PlayStation 4|PC|Xbox One,Jul 28 2015,Metanet Software Inc.,82
Pro Evolution Soccer 2015,Traditional|Sim|Sports|Action|Team|General|Soccer,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Nov 11 2014,Konami,82
Astebreed,Horizontal|Scrolling|Action|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC|Switch,Jun 25 2015,Edelweiss,82
Galak-Z: The Dimensional,Scrolling|Action|General|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC,Aug  4 2015,17-Bit,82
Super Time Force Ultra,Action|2D|Shooter|Vertical|Platformer|Shoot-'Em-Up,PlayStation 4|PC|PlayStation Vita|Xbox 360|Xbox One,Sep  1 2015,Capy Games,82
ZEN Pinball 2: Iron & Steel Pack,Action|Pinball,PlayStation 4|PlayStation 3|PlayStation Vita,Feb 25 2015,Zen Studios,82
Skullgirls: 2nd Encore,Action|2D|Fighting,PlayStation 4|PC|PlayStation Vita,Jul  7 2015,Lab Zero Games,82
Mortal Kombat 11,Action|2D|Fighting,PlayStation 4|PC|Switch|Xbox One,Apr 23 2019,NetherRealm Studios,82
Lovers in a Dangerous Spacetime,Shooter|Action|Horizontal|Shoot-'Em-Up,PlayStation 4|PC|Switch|Xbox One,Feb  9 2016,Asteroid Base,82
Enter the Gungeon,Action|General,PlayStation 4|PC|Switch|Xbox One,Apr  5 2016,Dodge Roll,82
Child of Light,Action|Role-Playing|General,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Switch|Wii U|Xbox 360|Xbox One,Apr 29 2014,Ubisoft Montreal,82
Rocksmith 2014 Edition,Music|Action|Rhythm|Miscellaneous,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Nov  4 2014,Ubisoft,82
The Messenger,Action|Platformer|2D,PlayStation 4|PC|Switch,Mar 19 2019,Sabotage Studio,82
SteamWorld Dig,Action Adventure|Action|2D|General|Platformer,PlayStation 4|3DS|PC|PlayStation Vita|Switch|Wii U|Xbox One,Mar 18 2014,Image & Form,82
Tekken 7,Action|3D|Fighting,PlayStation 4|PC|Xbox One,Jun  2 2017,Bandai Namco Games,82
Mega Man 11,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Oct  2 2018,Capcom,82
PixelJunk Shooter Ultimate,Scrolling|Action|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC|PlayStation Vita,Jun  3 2014,Double Eleven,82
ZEN Pinball 2,Parlor|Action|Pinball|Miscellaneous,PlayStation 4|PlayStation 3|PlayStation Vita|Wii U,Dec 24 2013,Zen Studios,82
Orcs Must Die! Unchained,Defense|Action|Strategy|General|Real-Time,PlayStation 4|PC,Jul 18 2017,Robot Entertainment,82
Metrico+,Action|Puzzle,PlayStation 4|PC|Xbox One,Aug 23 2016,Digital Dreams,81
Plants vs Zombies: Garden Warfare 2,Third-Person|Action|General|Shooter|Tactical,PlayStation 4|PC|Xbox One,Feb 23 2016,PopCap,81
Danganronpa V3: Killing Harmony,Adventure|Action|Visual Novel|General,PlayStation 4|PC|PlayStation Vita,Sep 26 2017,Spike Chunsoft,81
ICEY,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|Switch,Aug  8 2017,X.D. Network Inc.,81
Warhammer: Vermintide 2,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Dec 18 2018,Fatshark AB,81
Overcooked! 2,Arcade|Action,PlayStation 4|PC|Switch|Xbox One,Aug  7 2018,Ghost Town Games Ltd.,81
Skylanders SuperChargers,Action|Platformer|3D,PlayStation 4|iPhone/iPad|PlayStation 3|Wii U|Xbox 360|Xbox One,Sep 20 2015,Vicarious Visions,81
FAR: Lone Sails,Action|Platformer|2D,PlayStation 4|PC|Xbox One,Apr  2 2019,Okomotive,81
Helldivers,Arcade|Third-Person|Action|Shooter|Sci-Fi,PlayStation 4|PC|PlayStation 3|PlayStation Vita,Mar  3 2015,Arrowhead Game Studios,81
Shantae: Half-Genie Hero,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch|Wii U|Xbox One,Dec 20 2016,WayForward,81
Timespinner,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Sep 25 2018,Lunar Ray Games,81
The Walking Dead: Season Two - A Telltale Games Series,Action|Point-and-Click|General|Adventure,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Xbox 360|Xbox One,Oct 21 2014,Telltale Games,81
Risk of Rain,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch,Apr 12 2016,Code Mystics Inc.| Hopoo Games,81
Star Wars Pinball: The Force Awakens,Action|Pinball,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Xbox 360|Xbox One,Jan 12 2016,Zen Studios,81
Far Cry 5,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Mar 27 2018,Ubisoft Montreal,81
Sine Mora EX,Shooter|Action|Horizontal|Shoot-'Em-Up,PlayStation 4|PC|Switch|Xbox One,Aug  8 2017,Digital Reality,81
Call of Duty: Black Ops III,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Nov  6 2015,Treyarch,81
Shadow Complex Remastered,Third-Person|Shooter|Action|Arcade,PlayStation 4|PC|Xbox One,May  3 2016,Chair Entertainment,80
Ultimate Chicken Horse,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Dec 12 2017,Clever Endeavour Games,80
BlazBlue: Chrono Phantasma Extend,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Xbox One,Jun 30 2015,Arc System Works,80
Pix the Cat,Arcade|Action|General,PlayStation 4|PC|PlayStation Vita|Xbox One,Oct  7 2014,Pasta Games,80
Dariusburst: Chronicle Saviours,Shooter|Action|Horizontal|Shoot-'Em-Up,PlayStation 4|PC|PlayStation Vita,Dec  2 2015,Pyramid,80
Injustice: Gods Among Us - Ultimate Edition,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Xbox 360,Nov 12 2013,NetherRealm Studios,80
Blood & Truth,Shooter|Action|Light Gun,PlayStation 4,May 28 2019,SCEE London Studio,80
The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,Adventure|Action|Point-and-Click|General,PlayStation 4|PC|Xbox One,Dec 20 2016,Telltale Games,80
Metro Exodus,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Feb 15 2019,4A Games,80
RiME,Third-Person|Action|General|3D|Adventure,PlayStation 4|PC|Switch|Xbox One,May 26 2017,Tequila Works,80
Giana Sisters: Twisted Dreams - Director's Cut,Action|Platformer|2D,PlayStation 4|PC|Wii U|Xbox One,Dec  9 2014,Black Forest Games,80
Octahedron,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Mar 20 2018,Demimonde,80
Bow to Blood,Shooter|Action|Light Gun,PlayStation 4,Aug 28 2018,Tribetoy,80
Gravity Rush 2,Action|Platformer|3D,PlayStation 4,Jan 20 2017,SCE Japan Studio,80
Score Rush Extended,Shooter|Action|Top-Down|Shoot-'Em-Up,PlayStation 4,May 31 2016,Xona Games,80
Star Wars Pinball: Heroes Within,Parlor|Action|Pinball|Miscellaneous,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Xbox 360,Apr 29 2014,Zen Studios,80
Dragon's Crown Pro,Action|Beat-'Em-Up|Role-Playing|2D|Action RPG,PlayStation 4|PlayStation 3|PlayStation Vita,May 15 2018,Vanillaware,80
Guitar Hero Live,Music|Action|Rhythm,PlayStation 4|iPhone/iPad|PlayStation 3|Wii U|Xbox 360|Xbox One,Oct 20 2015,FreeStyleGames,80
Pinball FX2 VR,Action|Pinball|Miscellaneous|General,PlayStation 4|PC,Nov 29 2016,Zen Studios,80
Tom Clancy's The Division,Arcade|Third-Person|Action|Shooter|Modern|Tactical,PlayStation 4|PC|Xbox One,Mar  8 2016,Massive Entertainment,80
Downwell,Action|General,PlayStation 4|iPhone/iPad|PC|PlayStation Vita|Switch,May 24 2016,Moppin,80
Rabi-Ribi,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita,Sep  1 2017,CreSpirit,80
The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,Action|Point-and-Click|General|Adventure,PlayStation 4|PC|Xbox One,Dec 20 2016,Telltale Games,80
Gravity Rush Remastered,Action Adventure|Action|Platformer|Open-World|3D,PlayStation 4,Feb  2 2016,Bluepoint Games,80
World of Tanks,Simulation|Combat|Third-Person|Action|Vehicle|Shooter|Tactical,PlayStation 4|PC|Xbox 360|Xbox 360|Xbox One,Jan 19 2016,Wargaming.net,80
Ziggurat,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Wii U|Xbox One,Apr 21 2015,Milkstone Studios,80
Skylanders Imaginators,Action|Platformer|3D,PlayStation 4|PlayStation 3|Switch|Wii U|Xbox 360|Xbox One,Oct 16 2016,Toys for Bob,79
LocoRoco 2 Remastered,Action|Platformer|2D,PlayStation 4,Dec  9 2017,SCE Japan Studio,79
Firewall Zero Hour,Tactical|First-Person|Shooter|Action,PlayStation 4,Aug 28 2018,Sony Interactive Entertainment| First Contact Entertainment,79
Joe Dever's Lone Wolf Console Edition,Adventure|General|Action,PlayStation 4|PC|Xbox One,Mar 16 2016,Forge Reply,79
Wandersong,2D|Platformer|Action,PlayStation 4|PC|Switch,Jan 22 2019,Dumb and Fat Games,79
Inversus,Action|Strategy|Arcade|Tactics|Real-Time,PlayStation 4|PC,Aug 16 2016,Hypersect,79
The Metronomicon: Slay the Dance Floor,Rhythm|Music|Action,PlayStation 4|PC|Xbox One,Aug 29 2017,Puuba,79
A Hat in Time,3D|Platformer|Action,PlayStation 4|PC|Xbox One,Dec  5 2017,Gears for Breakfast,79
Skylanders Swap Force,3D|Platformer|Action,PlayStation 4|3DS|PlayStation 3|Wii U|Xbox 360|Xbox One,Nov 15 2013,Vicarious Visions,79
Prey,Arcade|First-Person|Action|General|Shooter,PlayStation 4|PC|Xbox One,May  5 2017,Arkane Studios,79
LittleBigPlanet 3,2D|Platformer|Action,PlayStation 4|PlayStation 3,Nov 18 2014,Sumo Digital,79
Hob,General|Action,PlayStation 4|PC|Switch,Sep 26 2017,Runic Games,79
LocoRoco,2D|Platformer|Action,PlayStation 4|Mobile,May  9 2017,Sony Interactive Entertainment,79
Zen Pinball 2: Bethesda Pinball,Pinball|Action,PlayStation 4|iPhone/iPad|PC|Xbox One,Dec  6 2016,Zen Studios,79
Naruto Shippuden: Ultimate Ninja Storm 4,3D|Fighting|Action,PlayStation 4|PC|Xbox One,Feb  9 2016,CyberConnect2,79
Rock of Ages 2: Bigger & Boulder,General|Action,PlayStation 4|PC|Switch|Xbox One,Aug 28 2017,ACE Team,79
Shooty Fruity,Light Gun|Shooter|Action,PlayStation 4|PC,Dec 19 2017,nDreams,79
The King of Fighters XIV,2D|Fighting|Action,PlayStation 4|PC,Aug 23 2016,SNK Playmore| SNK Corporation,79
Pac-Man 256,Arcade|General|Action,PlayStation 4|iPhone/iPad|PC|Xbox One,Jun 21 2016,HIPSTER WHALE,79
Alienation,Sci-Fi|Arcade|Third-Person|Action|Shooter,PlayStation 4,Apr 26 2016,Housemarque,79
Rival Megagun,Vertical|Shoot-'Em-Up|Shooter|Action,PlayStation 4|PC|Switch|Xbox One,Nov 29 2018,Spacewave Software,79
Kero Blaster,Platformer|Vertical|2D|Action|Shoot-'Em-Up|Shooter,PlayStation 4|iPhone/iPad|PC|Switch,Apr 11 2017,Studio Pixel,79
Call of Duty: WWII,Arcade|First-Person|Shooter|Action,PlayStation 4|PC|Xbox One,Nov  3 2017,Sledgehammer Games,79
Pinball FX3,Pinball|Action,PlayStation 4|PC|Switch|Xbox One,Sep 26 2017,Zen Studios,78
ZEN Pinball 2: Balls of Glory,Pinball|Action,PlayStation 4|iPhone/iPad|PlayStation 3|PlayStation Vita,Oct 20 2015,Zen Studios,78
Death Road to Canada,General|Action,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,May  8 2018,Rocketcat Games,78
Super Rude Bear Resurrection,2D|Platformer|Action,PlayStation 4|PC,May  2 2017,Alex Rose,78
Hatsune Miku: Project Diva X,Rhythm|Music|Action,PlayStation 4|PlayStation Vita,Aug 30 2016,Sega,78
Overcooked!,Virtual|Arcade|Simulation|Career|Action,PlayStation 4|PC|Switch|Xbox One,Aug  2 2016,Ghost Town Games Ltd.,78
1001 Spikes,2D|Platformer|Action,PlayStation 4|3DS|PC|PlayStation Vita|Wii U|Xbox One,Jun  3 2014,Nicalis,78
Unravel,2D|Platformer|Action,PlayStation 4|PC|Xbox One,Feb  9 2016,Coldwood Interactive,78
Forma.8,2D|Platformer|Action,PlayStation 4|iPhone/iPad|PC|PlayStation Vita|Switch|Wii U|Xbox One,Feb 23 2017,MixedBag Srl,78
Starwhal,2D|Fighting|Action,PlayStation 4|PC|PlayStation 3|Wii U|Xbox One,Feb 24 2015,Breakfall,78
Mothergunship,General|Action,PlayStation 4|PC|Xbox One,Jul 17 2018,Grip Digital,78
Rock Band 4,Rhythm|Music|Action,PlayStation 4|Xbox One,Oct  6 2015,Harmonix Music Systems,78
Fortnite,Tactical|Third-Person|Shooter|Action,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Switch|Xbox 360|Xbox One,Jul 21 2017,Epic Games,78
Under Night In-Birth Exe:Late[st],2D|Fighting|Action,PlayStation 4|PC|PlayStation 3|PlayStation Vita,Feb  9 2018,French-Bread,78
Skylanders Trap Team,3D|Platformer|Action,PlayStation 4|3DS|iPhone/iPad|PlayStation 3|Wii U|Xbox 360|Xbox One,Oct  5 2014,Toys for Bob,78
Call of Duty: Ghosts,Modern|Arcade|First-Person|Action|Shooter,PlayStation 4|PC|PlayStation 3|Wii U|Xbox 360|Xbox One,Nov 15 2013,Infinity Ward,78
PlanetSide 2,Sci-Fi|Arcade|First-Person|Action|Tactical|Shooter,PlayStation 4|PC,Jun 23 2015,Sony Online Entertainment| Daybreak Games,78
Toki Tori 2 +,Puzzle|Action,PlayStation 4|PC|Switch|Wii U,Feb 23 2016,Two Tribes,78
Call of Duty: Black Ops III - Zombies Chronicles,Arcade|First-Person|Shooter|Action,PlayStation 4|Xbox One,May 16 2017,Treyarch,78
Everybody's Gone to the Rapture,3D|First-Person|Action|Adventure|General,PlayStation 4|PC,Aug 11 2015,The Chinese Room,78
Teslagrad,2D|Platformer|Action,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Switch|Wii U|Xbox One,Apr 14 2015,Rain Games,78
Mutant Mudds: Super Challenge,2D|Platformer|Action,PlayStation 4|3DS|PC|PlayStation Vita|Wii U,Jul 26 2016,Renegade Kid,78
Flywrench,General|Action,PlayStation 4|PC,Feb 14 2017,Messhof,78
The Missing: JJ Macfield and the Island of Memories,General|Action,PlayStation 4|PC|Switch|Xbox One,Oct 15 2018,White Owls,77
Game of Thrones: Episode One - Iron From Ice,Adventure|General|Point-and-Click|Action,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Xbox 360|Xbox One,Dec  2 2014,Telltale Games,77
Linelight,Puzzle|Action,PlayStation 4|iPhone/iPad|PC,Jan 31 2017,My Dog Zorro,77
Life Goes On: Done to Death,2D|Platformer|Action,PlayStation 4|PC|PC,May 17 2016,Infinite Monkeys,77
Ultimate Marvel vs. Capcom 3,2D|Fighting|Action,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Xbox 360|Xbox One,Dec  3 2016,Capcom,77
Pac-Man Championship Edition 2,Arcade|Action,PlayStation 4|PC|Xbox One,Sep 13 2016,Bandai Namco Games,77
Street Fighter V,2D|Fighting|Action,PlayStation 4|PC,Feb 16 2016,Capcom,77
Embers of Mirrim,General|Action,PlayStation 4|PC|Switch|Xbox One,May 23 2017,Creative Bytes,77
Shu,2D|Platformer|Action,PlayStation 4|PC|PlayStation Vita|Switch,Oct  4 2016,Coatsink Software,77
Dragon Quest Heroes: The World Tree's Woe and the Blight Below,3D|2D|Beat-'Em-Up|Action,PlayStation 4|PC,Oct 13 2015,Omega Force,77
Valiant Hearts: The Great War,Platformer|Action|2D,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Switch|Xbox 360|Xbox One,Jun 24 2014,Ubisoft Montpellier,77
